user_id,name,role,login_count,access_level,session_time,var_activity,last_login_time
0,UserTest_0,manager,845,2,2208.41,2.65,2025-05-02 02:29:26
1,UserTest_1,accounter,647,3,1271.21,6.56,2025-04-26 02:29:26
2,UserTest_2,accounter,717,2,2587.04,5.8,2025-04-20 02:29:26
3,UserTest_3,developer,600,4,1489.21,8.6,2025-04-26 02:29:26
4,UserTest_4,manager,846,3,2884.1,8.51,2025-04-16 02:29:26
5,UserTest_5,analyst,882,3,2027.6,9.34,2025-04-19 02:29:26
6,UserTest_6,accounter,197,3,1286.17,8.64,2025-05-02 02:29:26
7,UserTest_7,manager,134,1,2453.29,6.3,2025-05-02 02:29:26
8,UserTest_8,manager,781,4,3592.44,7.04,2025-05-02 02:29:26
9,UserTest_9,admin,78,2,2737.07,9.25,2025-05-03 02:29:26
10,UserTest_10,manager,960,3,2814.12,6.29,2025-04-12 02:29:26
11,UserTest_11,accounter,73,3,2889.42,9.09,2025-05-07 02:29:26
12,UserTest_12,developer,946,4,2911.43,1.09,2025-04-19 02:29:26
13,UserTest_13,admin,280,2,1359.93,4.12,2025-04-26 02:29:26
14,UserTest_14,analyst,859,3,1519.06,5.9,2025-04-10 02:29:26
15,UserTest_15,accounter,954,3,2577.71,1.83,2025-04-19 02:29:26
16,UserTest_16,accounter,828,1,3434.92,3.04,2025-04-08 02:29:26
17,UserTest_17,accounter,536,1,1697.88,3.84,2025-04-26 02:29:26
18,UserTest_18,developer,264,3,1260.92,8.59,2025-04-14 02:29:26
19,UserTest_19,admin,923,3,1829.24,2.88,2025-04-17 02:29:26
20,UserTest_20,admin,73,3,1260.92,2.88,2025-04-17 02:29:26
21,UserTest_21,developer,600,4,1489.21,8.6,2025-04-26 02:29:26
22,UserTest_22,developer,600,4,1489.21,8.6,2025-04-26 02:29:26
23,UserTest_23,manager,846,3,2884.1,8.51,2025-04-16 02:29:26
24,UserTest_24,accounter,954,3,2577.71,1.83,2025-04-19 02:29:26
25,UserTest_25,admin,73,3,1260.92,2.88,2025-04-17 02:29:26
26,UserTest_26,manager,845,2,2208.41,2.65,2025-05-02 02:29:26
27,UserTest_27,analyst,859,3,1519.06,5.9,2025-04-10 02:29:26
28,UserTest_28,manager,781,4,3592.44,7.04,2025-05-02 02:29:26
29,UserTest_29,manager,781,4,3592.44,7.04,2025-05-02 02:29:26
30,UserTest_30,developer,600,4,1489.21,8.6,2025-04-26 02:29:26
31,UserTest_31,developer,264,3,1260.92,8.59,2025-04-14 02:29:26
32,UserTest_32,accounter,536,1,1697.88,3.84,2025-04-26 02:29:26
